ate_num_t,ate_num
ATM809001,0NICA3801
ATM235708,0NICA3804
ATM175253,0NIC53033
ATM850264,0NICAB203
ATM675871,0NICAT901
ATM412437,0NICAL403
ATM117753,0NIC99098
ATM671000,0NICAL701
ATM715235,0NICAI501
ATM517764,0NICAU001
ATM440552,0NIC53091
ATM948659,0NICA1602
ATM793445,0NIC53054
ATM739233,0NICA1005
ATM631719,0NIC53073
ATM146132,0NICAZ103
ATM883849,0NICAE501
ATM228123,0NIC53092
ATM818442,0NIC99094
ATM708617,0NICAT501
ATM768398,0NICAC301
ATM788038,0NICAN101
ATM823060,0NICAW401
ATM562620,0NICAC001
ATM356645,0NICA8601
ATM405344,0NICAY201
ATM913644,0NICAT001
ATM207819,0NICAJ301
ATM390600,0NICAD301
ATM914384,0NICAV501
ATM232120,0NICAA601
ATM448785,0NICA1605
ATM355872,0NICA3201
ATM257889,0NICA7504
ATM153615,0NICAY101
ATM429755,0NICA4901
ATM944239,0NICAB701
ATM104826,0NIC53072
ATM933460,0NICAE603
ATM213809,0NICAW501
ATM685834,0NICAD801
ATM660938,0NIC53014
ATM344922,0NICAV601
ATM774262,0NIC53045
ATM716841,0NIC53067
ATM592776,0NICA5461
ATM515301,0NICAT701
ATM182560,0NICA3303
ATM800745,0NICA4803
ATM384821,0NICAA201
ATM107206,0NICAV801
ATM342648,0NICAB703
ATM154190,0NICA0106
ATM435881,0NICAM801
ATM416274,0NIC00152
ATM716819,0NICAJ901
ATM677527,0NIC53047
ATM754137,0NICAM901
ATM307448,0NICA8101
ATM321800,0NICAS801
ATM938409,0NICAA404
ATM257366,0NICAD701
ATM139066,0NIC00139
ATM540863,0NICAR101
ATM570530,0NIC53060
ATM380054,0NICA7603
ATM284325,0NICAW304
ATM862871,0NICAO005
ATM361907,0NICAO401
ATM725463,0NICAM201
ATM168343,0NICAE701
ATM230856,0NICAN401
ATM988357,0NICA1504
ATM613324,0NICA2307
ATM283322,0NICAC903
ATM415046,0NIC53063
ATM585312,0NICA5101
ATM379635,0NICA2703
ATM378432,0NICA1406
ATM109951,0NICAS401
ATM105266,0NICAS804
ATM606969,0NICAJ401
ATM295776,0NICAX601
ATM707727,0NICAX101
ATM270450,0NICAH204
ATM185879,0NICAF001
ATM679792,0NICAZ601
ATM661416,0NICAF901
ATM492378,0NICA5501
ATM304241,0NICA4703
ATM400824,0NICAI703
ATM189054,0NICAH501
ATM572889,0NICAD901
ATM507917,0NICAK301
ATM273303,0NICA8801
ATM107898,0NICA0805
ATM853175,0NICA3602
ATM351947,0NICAN601
ATM726324,0NIC99119
ATM517631,0NICAO803
ATM791928,0NICAK701
ATM283218,0NICAZ701
ATM462979,0NICAL101
ATM411342,0NICAC701
ATM440458,0NICAT801
ATM923756,0NICAK101
ATM142663,0NIC00141
ATM850067,0NICA3108
ATM329950,0NICAU501
ATM885415,0NICAN701
ATM267546,0NICAS803
ATM425328,0NICAM701
ATM747813,0NICAD601
ATM248778,0NICAW201
ATM103066,0NICAH401
ATM597768,0NIC53075
ATM604475,0NICAE901
ATM994175,0NICA6105
ATM815108,0NICAP101
ATM280399,0NIC99086
ATM964481,0NICA8201
ATM912848,0NICAM101
ATM731861,0NICAR301
ATM893658,0NICAS601
ATM364767,0NICAA901
ATM492841,0NICA8901
ATM561544,0NICA2403
ATM507891,0NICA1101
ATM289396,0NICAX401
ATM521914,0NIC00140
ATM939857,0NIC00130
ATM574176,0NICAD501
ATM480904,0NICAK201
ATM103254,0NICA6504
ATM398292,0NICAE001
ATM124899,0NICAG808
ATM336345,0NICA0901
ATM804189,0NICA5201
