bra_code,bra_iden,bra_init,bra_province,bra_bank_code,bra_corp_name,bra_sequ_numb,bra_sub_province,updated_at
5128,E4,1007144,Province 4,1,AABUKHAIRENI,100,Damauli,2024-08-07 07:03:06.983
5129,Q2,1007262,Province 4,1,AMARSINGH CHOWK,100,Pokhara,2024-08-07 07:03:06.983
5130,E9,1007149,Province 4,1,AMRAPURI,100,Gaidakot,2024-08-07 07:03:06.983
5131,U0,1007300,Province 3,1,Anamnagar,100,Putalisadak,2024-08-07 07:03:06.983
5132,50,1007050,Province 5,1,ARGHAKHANCHI,100,Butwal,2024-08-07 07:03:06.983
5133,F5,1007155,Province 4,1,ARUNKHOLA,100,Gaidakot,2024-08-07 07:03:06.983
5134,71,1007071,Province 7,1,ATTARIYA,100,Dhangadhi,2024-08-07 07:03:06.983
5135,P8,1007258,Province 4,1,Bagar,100,Pokhara,2024-08-07 07:03:06.983
5136,19,1007019,Province 3,1,BAGBAZAR,100,Corporate Office,2024-08-07 07:03:06.983
5137,74,1007074,Province 4,1,BAGLUNG,100,Baglung,2024-08-07 07:03:06.983
5138,K7,1007207,Province 2,1,BAGMATI,100,Hariwon,2024-08-07 07:03:06.983
5139,Z3,1007353,Province 5,1,Bahadurgunj,100,Bhairahawa,2024-08-07 07:03:06.983
5140,L5,1007215,Province 1,1,BAIKUNTHE,100,Hile,2024-08-07 07:03:06.983
5141,R2,1007272,Province 2,1,BAILBAS,100,Bardibas,2024-08-07 07:03:06.983
5142,B3,1007113,Province 7,1,BAJHANG,100,Dadeldhura,2024-08-07 07:03:06.983
5143,P9,1007259,Province 4,1,BAJHAPATAN,100,Pokhara,2024-08-07 07:03:06.983
5144,B4,1007114,Province 7,1,BAJURA,100,Dadeldhura,2024-08-07 07:03:06.983
5145,55,1007055,Province 3,1,BALAJU,100,Maharajgunj,2024-08-07 07:03:06.983
5146,Y2,1007342,Province 2,1,Balara,100,Hariwon,2024-08-07 07:03:06.983
5147,Y7,1007347,Province 3,1,Balefi,100,Banepa,2024-08-07 07:03:06.983
5148,M6,1007226,Province 1,1,BALIYA,100,Itahari,2024-08-07 07:03:06.983
5149,H0,1007170,Province 3,1,BALKOT,100,Bhaktapur,2024-08-07 07:03:06.983
5150,R8,1007278,Province 3,1,Baluwatar,100,Thamel,2024-08-07 07:03:06.983
5151,X6,1007336,Province 5,1,Banbatika,100,Rajmarga Chauraha,2024-08-07 07:03:06.983
5152,07,1007007,Province 3,1,BANEPA,100,Banepa,2024-08-07 07:03:06.983
5153,S5,1007285,Province 3,1,Baniyatar,100,Tokha,2024-08-07 07:03:06.983
5154,D9,1007139,Province 2,1,BANKUL BAZAR,100,Gaur,2024-08-07 07:03:06.983
5155,97,1007097,Province 5,1,BANSGADHI,100,Nepalgunj,2024-08-07 07:03:06.983
