mac_tcc,mac_code,mac_iden,mac_labe,updated_at
X,1,4722,TRAVEL AGENCIES               ,2024-08-07 07:05:07.198
R,2,5944,JEWELRY STORES - WAT          ,2024-08-07 07:05:07.198
A,3,7512,AUTOMOBILE RENTAL &           ,2024-08-07 07:05:07.198
H,4,3505,FORTE HOTELS                  ,2024-08-07 07:05:07.198
H,5,7011,"HOTELS,MOTELS,RESORT          ",2024-08-07 07:05:07.198
R,6,5992,FLORISTS                      ,2024-08-07 07:05:07.198
R,7,5631,WOMEN`S ACCESSORY AN          ,2024-08-07 07:05:07.198
A,8,3393,NATIONAL CAR RENTAL           ,2024-08-07 07:05:07.198
R,9,5712,"FURNITURE,HOME FURNI          ",2024-08-07 07:05:07.198
F,10,5812,"EATING PLACE,RESTAU           ",2024-08-07 07:05:07.198
R,11,5611,MEN`S AND BOYS` CLOT          ,2024-08-07 07:05:07.198
R,12,5621,WOMEN`S READY-TO-WEA          ,2024-08-07 07:05:07.198
R,13,5947,"GIFT,CARD,NOVELTY AN          ",2024-08-07 07:05:07.198
X,14,4511,"AIRLINES, AIR CARRIE          ",2024-08-07 07:05:07.198
R,15,5411,"GROCERY STORES,SUPER          ",2024-08-07 07:05:07.198
R,16,7221,PHOTOGRAPHIC STUDIOS          ,2024-08-07 07:05:07.198
H,17,3637,RAMADA INNS                   ,2024-08-07 07:05:07.198
R,18,8999,"SERVICES,NOT ELSEWHE          ",2024-08-07 07:05:07.198
R,19,7841,DVD/VIDEO TAPE                ,2024-08-07 07:05:07.198
R,20,8021,"DENTISTS,ORTHODONTIS          ",2024-08-07 07:05:07.198
X,21,3175,MIDDLE EAST AIR               ,2024-08-07 07:05:07.198
R,22,8011,"DOCTORS, PHYSICIANS           ",2024-08-07 07:05:07.198
X,23,3015,SWISS INT. AIRLINES           ,2024-08-07 07:05:07.198
R,24,5997,ELECTRIC RAZOR STORE          ,2024-08-07 07:05:07.198
R,25,5661,SHOE STORES                   ,2024-08-07 07:05:07.198
R,26,5941,SPORTING GOODS STORE          ,2024-08-07 07:05:07.198
R,27,5912,"DRUG STORES,PHARMACI          ",2024-08-07 07:05:07.198
R,28,8044,OPTICAL GOODS & EYEG          ,2024-08-07 07:05:07.198
F,29,5813,DRINKING PLACES - BA          ,2024-08-07 07:05:07.198
H,30,3509,MARRIOTT HOTELS               ,2024-08-07 07:05:07.198
R,31,7210,"LAUNDRY,CLEANING & G          ",2024-08-07 07:05:07.198
R,32,7542,CAR WASHES                    ,2024-08-07 07:05:07.198
R,33,5541,SERVICE STATIONS              ,2024-08-07 07:05:07.198
R,34,7230,BEAUTY SHOPS & BARBE          ,2024-08-07 07:05:07.198
R,35,5722,HOUSEHOLD APPLIANCE           ,2024-08-07 07:05:07.198
R,36,5945,"HOBBY,TOY,AND GAME S          ",2024-08-07 07:05:07.198
H,37,3503,SHERATON                      ,2024-08-07 07:05:07.198
,38,4947,4947,2024-08-07 07:05:07.198
R,39,7298,HEALTH & BEAUTY SPAS          ,2024-08-07 07:05:07.198
R,40,8071,MEDICAL & DENTAL LAB          ,2024-08-07 07:05:07.198
,41,8063,X RAYS LAB.,2024-08-07 07:05:07.198
O,42,8062,HOSPITALS                     ,2024-08-07 07:05:07.198
R,44,5211,LUMBER AND BUILDING           ,2024-08-07 07:05:07.198
R,45,7911,"DANCE HALLS, STUDIOS          ",2024-08-07 07:05:07.198
R,46,8043,OPTICIANS & DISPENSI          ,2024-08-07 07:05:07.198
