mro_code,mro_acc_code,mro_mer_code,mro_sys_code,mro_tran_code,mro_tran_curr_code,updated_at
1109,2387219,2419061,,,150,2024-08-07 07:05:08.091
1129,2387279,2419461,,,150,2024-08-07 07:05:08.091
1149,2407503,2419861,,,150,2024-08-07 07:05:08.091
1150,2407504,2419881,,,150,2024-08-07 07:05:08.091
1169,2407519,2420261,,,150,2024-08-07 07:05:08.091
1189,2407559,2420661,,,150,2024-08-07 07:05:08.091
1190,2407560,2420681,,,150,2024-08-07 07:05:08.091
1191,2407561,2420701,,,150,2024-08-07 07:05:08.091
1192,2407562,2420721,,,150,2024-08-07 07:05:08.091
1193,2407563,2420741,,,150,2024-08-07 07:05:08.091
1194,2407564,2420761,,,150,2024-08-07 07:05:08.091
1195,2407565,2420781,,,150,2024-08-07 07:05:08.091
1196,2407566,2420801,,,150,2024-08-07 07:05:08.091
1197,2407567,2420821,,,150,2024-08-07 07:05:08.091
1198,2407568,2420841,,,150,2024-08-07 07:05:08.091
1199,2407569,2420861,,,150,2024-08-07 07:05:08.091
1200,2407570,2420881,,,150,2024-08-07 07:05:08.091
1201,2407571,2420901,,,150,2024-08-07 07:05:08.091
1202,2407572,2420921,,,150,2024-08-07 07:05:08.091
1203,2407573,2420941,,,150,2024-08-07 07:05:08.091
1204,2407574,2420961,,,150,2024-08-07 07:05:08.091
1205,2407575,2420981,,,150,2024-08-07 07:05:08.091
1206,2407576,2421001,,,150,2024-08-07 07:05:08.091
1207,2407577,2421021,,,150,2024-08-07 07:05:08.091
1208,2407578,2421041,,,150,2024-08-07 07:05:08.091
1209,2407579,2421061,,,150,2024-08-07 07:05:08.091
1210,2407580,2421081,,,150,2024-08-07 07:05:08.091
1211,2407581,2421101,,,150,2024-08-07 07:05:08.091
1212,2407582,2421121,,,150,2024-08-07 07:05:08.091
1213,2407583,2421141,,,150,2024-08-07 07:05:08.091
1214,2407584,2421161,,,150,2024-08-07 07:05:08.091
1215,2407585,2421181,,,150,2024-08-07 07:05:08.091
1216,2407586,2421201,,,150,2024-08-07 07:05:08.091
1217,2407587,2421221,,,150,2024-08-07 07:05:08.091
1218,2407588,2421241,,,150,2024-08-07 07:05:08.091
1219,2407589,2421261,,,150,2024-08-07 07:05:08.091
1220,2407590,2421281,,,150,2024-08-07 07:05:08.091
1221,2407591,2421301,,,150,2024-08-07 07:05:08.091
1222,2407592,2421321,,,150,2024-08-07 07:05:08.091
1223,2407593,2421341,,,150,2024-08-07 07:05:08.091
1224,2407594,2421361,,,150,2024-08-07 07:05:08.091
1225,2407595,2421381,,,150,2024-08-07 07:05:08.091
1226,2407596,2421401,,,150,2024-08-07 07:05:08.091
1227,2407597,2421421,,,150,2024-08-07 07:05:08.091
1228,2407598,2421441,,,150,2024-08-07 07:05:08.091
1229,2407599,2421461,,,150,2024-08-07 07:05:08.091
1230,2407600,2421481,,,150,2024-08-07 07:05:08.091
1231,2407601,2421501,,,150,2024-08-07 07:05:08.091
1232,2407602,2421521,,,150,2024-08-07 07:05:08.091
1233,2407603,2421541,,,150,2024-08-07 07:05:08.091
1235,2407605,2421581,,,150,2024-08-07 07:05:08.091
1236,2407606,2421601,,,150,2024-08-07 07:05:08.091
1237,2407607,2421621,,,150,2024-08-07 07:05:08.091
1238,2407608,2421641,,,150,2024-08-07 07:05:08.091
1239,2407609,2421661,,,150,2024-08-07 07:05:08.091
1240,2407610,2421681,,,150,2024-08-07 07:05:08.091
1241,2407611,2421701,,,150,2024-08-07 07:05:08.091
1242,2407612,2421721,,,150,2024-08-07 07:05:08.091
1243,2407613,2421741,,,150,2024-08-07 07:05:08.091
1244,2407614,2421761,,,150,2024-08-07 07:05:08.091
1245,2407615,2421781,,,150,2024-08-07 07:05:08.091
1246,2407616,2421801,,,150,2024-08-07 07:05:08.091
1247,2407617,2421821,,,150,2024-08-07 07:05:08.091
1248,2407618,2421841,,,150,2024-08-07 07:05:08.091
1249,2407619,2421861,,,150,2024-08-07 07:05:08.091
1250,2407620,2421881,,,150,2024-08-07 07:05:08.091
