Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
SBGEN,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBSTF,SAVING STAFF,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBGED,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBLTS,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBSVS,SAVING STAFF VEHICLE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD210,UTKRISTA BUNDLED SAHAJ BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBPRL,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBSHA,UTTAM SHAREHOLDER SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBKBK,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBNSB,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBASL,UTTAM BACHAT KHATA-SADHARAN,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBDBS,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
ACCLS,ACCOUNT CLOSURE SCHEME,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SSPRL,KARMASHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBREM,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
STWFN,STAFF WELFARE  FUND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
NPPCL,PRE-PAID CARD DEPOSIT ACC,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBLSV,LIFE SAVINGS ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
NVPPC,PRE-PAID CARD DEPOSIT ACC,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBUSD,USD SUPER SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SBYSV,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD012,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD001,STAFF SALARY A/C,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD002,STAFF PROVIDENT FUND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
SD003,SAVING STAFF VEHICLE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
