Schm_code,Schm_Desc (Product),Schm_Type,Product Category,Product Sub-Category,updated_at
PDSC183,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC531,SAVING STAFF,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1442,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1215,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1072,SAVING STAFF VEHICLE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1697,UTKRISTA BUNDLED SAHAJ BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC155,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC42,UTTAM SHAREHOLDER SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1749,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1087,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC234,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC782,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1505,ACCOUNT CLOSURE SCHEME,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1314,KARMASHIL BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC793,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1768,STAFF WELFARE  FUND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1316,PRE-PAID CARD DEPOSIT ACC,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1454,LIFE SAVINGS ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC916,PRE-PAID CARD DEPOSIT ACC,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC830,USD SUPER SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC284,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC198,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1368,STAFF SALARY A/C,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1616,STAFF PROVIDENT FUND,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1439,SAVING STAFF VEHICLE,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1586,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC541,UTTAM BACHAT KHATA-GENERAL,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC481,UTTAM NARI BACHAT KHATA-SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC906,UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1728,UTTAM SHAREHOLDER SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC411,UTTAM BAIDESHIK ROJGAR BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC584,LIFE SAVINGS ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC667,UTTAM BACHAT KHATA- SILVER,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC232, SUPER UTTAM BABU NANI BACHAT KHATA,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC1091, SUPER UTTAM BACHAT KHATA - GOLD,SBA,Deposit,Savings,2024-08-09 10:31:27.125
PDSC564,UTTAM YOUTH SAVING ACCOUNT,SBA,Deposit,Savings,2024-08-09 10:31:27.125
