schm_code_t,Schm_code,Schm_Desc (Product)
PDSC183,SBGEN,UTTAM BACHAT KHATA-GENERAL
PDSC531,SBSTF,SAVING STAFF
PDSC1442,SBGED,UTTAM BACHAT KHATA-GENERAL
PDSC1215,SBLTS,UTTAM BABU NANI BACHAT KHATA
PDSC1072,SBSVS,SAVING STAFF VEHICLE
PDSC1697,SD210,UTKRISTA BUNDLED SAHAJ BACHAT KHATA
PDSC155,SBPRL,UTTAM BACHAT KHATA-GENERAL
PDSC42,SBSHA,UTTAM SHAREHOLDER SAVING ACCOUNT
PDSC1749,SBKBK,UTTAM BACHAT KHATA-GENERAL
PDSC1087,SBNSB,UTTAM NARI BACHAT KHATA-SILVER
PDSC234,SBASL,UTTAM BACHAT KHATA-GENERAL
PDSC782,SBDBS,UTTAM BACHAT KHATA- SILVER
PDSC1505,ACCLS,ACCOUNT CLOSURE SCHEME
PDSC1314,SSPRL,KARMASHIL BACHAT KHATA
PDSC793,SBREM,UTTAM BAIDESHIK ROJGAR BACHAT KHATA
PDSC1768,STWFN,STAFF WELFARE  FUND
PDSC1316,NPPCL,PRE-PAID CARD DEPOSIT ACC
PDSC1454,SBLSV,LIFE SAVINGS ACCOUNT
PDSC916,NVPPC,PRE-PAID CARD DEPOSIT ACC
PDSC830,SBUSD,USD SUPER SAVING ACCOUNT
PDSC284,SBYSV,UTTAM YOUTH SAVING ACCOUNT
PDSC198,SD012,UTTAM BACHAT KHATA- SILVER
PDSC1368,SD001,STAFF SALARY A/C
PDSC1616,SD002,STAFF PROVIDENT FUND
PDSC1439,SD003,SAVING STAFF VEHICLE
PDSC1586,SD004,UTTAM BACHAT KHATA-GENERAL
PDSC541,SD005,UTTAM BACHAT KHATA-GENERAL
PDSC481,SD006,UTTAM NARI BACHAT KHATA-SILVER
PDSC906,SD007,UTTAM BABU NANI BACHAT KHATA
PDSC1728,SD008,UTTAM SHAREHOLDER SAVING ACCOUNT
PDSC411,SD009,UTTAM BAIDESHIK ROJGAR BACHAT KHATA
PDSC584,SD010,LIFE SAVINGS ACCOUNT
PDSC667,SD011,UTTAM BACHAT KHATA- SILVER
PDSC232,SD107, SUPER UTTAM BABU NANI BACHAT KHATA
PDSC1091,SD109, SUPER UTTAM BACHAT KHATA - GOLD
PDSC564,SD013,UTTAM YOUTH SAVING ACCOUNT
PDSC879,SD014,USD SUPER SAVING ACCOUNT
PDSC1609,SD091,UTTAM TALAB BACHAT KHATA
PDSC1411,SD019,SGD SAVINGS ACCOUNT
PDSC1817,SD020,UTTAM SHAREHOLDER SAVING ACCOUNT
PDSC702,SD021,UTTAM BACHAT KHATA- GOLD
PDSC231,SD087,UTTAM NARI BACHAT KHATA-DIAMOND
PDSC849,SD212,UTKRISTA BAIJANATH GAUNPALIKA BACHAT KHATA PRIDE
PDSC1701,SD767,SATHI BACHAT KHATA
PDSC1048,SD015,USD SAVINGS  ACCOUNT
PDSC1848,SD016,GBP SAVING ACCOUNT
PDSC30,SD017,EURO SAVINGS ACCOUNT
PDSC1095,BOND7,SAGARMATHA BOND 2077
PDSC1457,SD743,UTKRISTA SUNYA MAUJAT BACHAT KHATA
PDSC1410,SD059,UTTAM BACHAT KHATA- SILVER
PDSC1031,SD018,UTTAM BACHAT KHATA- SILVER
PDSC496,SD025,UTTAM BACHAT KHATA-GENERAL
PDSC1280,SD026,UTTAM JESTHA NAGARIK BACHAT KHATA-SILVER
PDSC901,SD024,UTTAM BACHAT KHATA-GENERAL
PDSC1670,SD027,UTTAM NARI BACHAT KHATA-SILVER
PDSC1308,SD759,USD SAVING ACCOUNT - NRN
PDSC84,SD028,DOUBLE DEPOSIT SAVING ACC
PDSC1366,SD030,UTTAM TALAB BACHAT KHATA
PDSC343,SD031,UTTAM BACHAT KHATA-GENERAL
PDSC157,SD022,SOCIAL SECURITY RELIEF AC
PDSC1239,SD023,STAFF HOUSING LOAN-ESCROW
PDSC435,SD029,SAMAJIK SURAKCHYA BACHAT
PDSC997,SD034,UTTAM BACHAT KHATA-GENERAL
PDSC1597,SD035,UTTAM BAIDESHIK ROJGAR BACHAT KHATA
PDSC1821,SD036,UTTAM YOUTH SAVING ACCOUNT
