SOL_ID,HUB_NAME,BRANCH_NAME,BR_OPN_DATE,CLUSTER_NAME,PROVINCE_NAME,SUB_PROVINCIAL,updated_at
00,Registered Office,Head Office,2020-04-03T00:00:00.000000,Registered Office,Registered Office,Registered Office,2024-08-07 06:59:45.556
01,Bagmati Province,Tripureswor,2020-04-04T00:00:00.000000,Jen Thapa,Province 3,Bagmati 5,2024-08-07 06:59:45.556
02,Koshi Province,Biratnagar,2020-04-05T00:00:00.000000,Smit Thakuri,Province 1,Koshi 1,2024-08-07 06:59:45.556
03,Bagmati Province,Jawalakhel,2020-04-06T00:00:00.000000,Nirvan Khadka,Province 3,Bagmati 8,2024-08-07 06:59:45.556
04,Koshi Province,Itahari,2020-04-07T00:00:00.000000,Abid Shrestha,Province 1,Koshi 2,2024-08-07 06:59:45.556
05,Koshi Province,Ilam,2020-04-08T00:00:00.000000,Nawal Poudel,Province 1,Koshi 3,2024-08-07 06:59:45.556
06,Bagmati Province,New Road,2020-04-09T00:00:00.000000,Saubhagya Dahal,Province 3,Bagmati 1,2024-08-07 06:59:45.556
07,Bagmati Province,Banepa,2020-04-10T00:00:00.000000,Rajababu Timalsina,Province 3,Bagmati 9,2024-08-07 06:59:45.556
08,Bagmati Province,Bhaktapur,2020-04-11T00:00:00.000000,Pranij Poudel,Province 3,Bagmati 4,2024-08-07 06:59:45.556
09,Koshi Province,Birtamode,2020-04-12T00:00:00.000000,Prithivi Dahal,Province 1,Koshi 3,2024-08-07 06:59:45.556
10,Bagmati Province,Kalanki,2020-04-13T00:00:00.000000,Gambheer Karki,Province 3,Bagmati 6,2024-08-07 06:59:45.556
11,Bagmati Province,Chhetrapati,2020-04-14T00:00:00.000000,Suprim Acharya,Province 3,Bagmati 5,2024-08-07 06:59:45.556
12,Bagmati Province,Bode,2020-04-15T00:00:00.000000,Srijeet Neupane,Province 3,Bagmati 4,2024-08-07 06:59:45.556
13,Bagmati Province,Maharajgunj,2020-04-16T00:00:00.000000,Sanjita Limbu,Province 3,Bagmati 3,2024-08-07 06:59:45.556
14,Bagmati Province,Narayangarh,2020-04-17T00:00:00.000000,Drrajendra Neupane,Province 3,Bagmati 2,2024-08-07 06:59:45.556
15,Lumbini Province,Butwal,2020-04-18T00:00:00.000000,Hrisheekesh Bhandari,Province 5,Lumbini 4,2024-08-07 06:59:45.556
16,Gandaki Province,Mahendrapool,2020-04-19T00:00:00.000000,Hansha Gurung,Province 4,Gandaki 1,2024-08-07 06:59:45.556
17,Bagmati Province,Samakhushi,2020-04-20T00:00:00.000000,Surojan Lama,Province 3,Bagmati 3,2024-08-07 06:59:45.556
18,Bagmati Province,Boudha,2020-04-21T00:00:00.000000,Buddhiraj Tamang,Province 3,Bagmati 4,2024-08-07 06:59:45.556
19,Bagmati Province,Bagbazar,2020-04-22T00:00:00.000000,Shiva Magar,Province 3,Bagmati 1,2024-08-07 06:59:45.556
20,Lumbini Province,Nepalgunj,2020-04-23T00:00:00.000000,Prabidhi Karki,Province 5,Lumbini 6,2024-08-07 06:59:45.556
21,Bagmati Province,Kausaltar,2020-04-24T00:00:00.000000,Tshetish Sharma,Province 3,Bagmati 4,2024-08-07 06:59:45.556
22,Madhesh Province,Birgunj,2020-04-25T00:00:00.000000,Humacanta Magar,Province 2,Madhesh 1,2024-08-07 06:59:45.556
23,Koshi Province,DharanMB,2020-04-26T00:00:00.000000,Poojan Tamang,Province 1,Koshi 5,2024-08-07 06:59:45.556
24,Sudurpaschim Province,Mahendranagar,2020-04-27T00:00:00.000000,Aavaas Limbu,Province 7,Dhangadhi,2024-08-07 06:59:45.556
25,Sudurpaschim Province,Dhangadhi - Hospital Line,2020-04-28T00:00:00.000000,Duman Bhandari,Province 7,Dhangadhi,2024-08-07 06:59:45.556
26,Bagmati Province,Gwarko,2020-04-29T00:00:00.000000,Timilsina Pandey,Province 3,Bagmati 6,2024-08-07 06:59:45.556
27,Bagmati Province,Khumaltar,2020-04-30T00:00:00.000000,Srija Rai,Province 3,Bagmati 8,2024-08-07 06:59:45.556
28,Bagmati Province,Sukedhara,2020-05-01T00:00:00.000000,Bashuki Karki,Province 3,Bagmati 3,2024-08-07 06:59:45.556
29,Bagmati Province,Dillibazar,2020-05-02T00:00:00.000000,Iwan Shrestha,Province 3,Bagmati 5,2024-08-07 06:59:45.556
30,Bagmati Province,New Road Bishal Bazar,2020-05-03T00:00:00.000000,Talaz Magar,Province 3,Bagmati 1,2024-08-07 06:59:45.556
31,Madhesh Province,Janakpur,2020-05-04T00:00:00.000000,Hemraj Thapa,Province 2,Madhesh 5,2024-08-07 06:59:45.556
32,Bagmati Province,Kamaladi,2020-05-05T00:00:00.000000,Bhavindra Lama,Province 3,Bagmati 1,2024-08-07 06:59:45.556
33,Bagmati Province,Pulchowk,2020-05-06T00:00:00.000000,Vawesh Thakuri,Province 3,Bagmati 8,2024-08-07 06:59:45.556
34,Koshi Province,Damak,2020-05-07T00:00:00.000000,Sanju Magar,Province 1,Koshi 4,2024-08-07 06:59:45.556
35,Karnali Province,Surkhet,2020-05-08T00:00:00.000000,Bandana Bhandari,Province 6,Surkhet,2024-08-07 06:59:45.556
36,Madhesh Province,Lahan,2020-05-09T00:00:00.000000,Shirish Karki,Province 2,Madhesh 6,2024-08-07 06:59:45.556
37,Bagmati Province,Battisputali,2020-05-10T00:00:00.000000,Samarpan Karki,Province 3,Bagmati 7,2024-08-07 06:59:45.556
