id,icon,active,mnemonic,has_limit,created_by,offer_text,service_id,sort_order,instruction,total_param,account_name,created_date,unicode_name,email_address,merchant_name,account_number,contact_number,iso_field_type,allow_repayment,is_direct_group,display_position,last_modified_by,merchant_type_id,merchant_group_id,last_modified_date,payable_limit_type,account_branch_code,redirect_to_fonepay,merchant_description,allow_counter_payment,merchant_category_code_id,unicode_merchant_description,updated_at
2,ntc.png,Y,NTPOS,Y,1,,10,3,Please enter your NT Postpaid mobile number and select amount to pay your bill.,1,,"Row(member0=Timestamp('2018-10-01 14:32:22'), member1=None)",unicode,,NT Postpaid Topup,00954055240004,,D,,N,payment,,1,2.0,"Row(member0=Timestamp('2019-02-01 08:32:11'), member1=None)",F,0,N,NT Postpaid Topup,N,,,2024-08-07 07:05:25.427
3,ncell.png,Y,NCELL,Y,1,,8,4,Please enter your NCELL Mobile Number and select amount to recharge your balance.,1,,"Row(member0=Timestamp('2018-10-01 14:34:27'), member1=None)",unicode,,Ncell Topup,00954055240005,,D,,N,payment,,1,2.0,"Row(member0=Timestamp('2019-02-01 08:31:59'), member1=None)",R,0,N,Ncell Topup,N,,,2024-08-07 07:05:25.427
4,esewa-icon.png,Y,ESEWA,Y,1,,26,1,"Please enter your Esewa Id, select amount and other details to load fund to your Esewa account.",2,,"Row(member0=Timestamp('2018-10-01 14:38:27'), member1=None)",unicode,,ESEWA,01CA014355NPR001,,D,,N,payment,,1,4.0,"Row(member0=Timestamp('2018-11-11 13:21:38'), member1=None)",R,1,N,eSewa Load,N,,,2024-08-07 07:05:25.427
5,fonepay-direct.png,Y,FPIBT,N,1,,4,2,,2,,"Row(member0=Timestamp('2018-10-01 14:39:05'), member1=None)",unicode,,Fonepay Interbank,01CA014355NPR001,,D,,N,payment,,3,1.0,,R,1,N,Fonepay InterBank Transfer,N,,,2024-08-07 07:05:25.427
6,fonepay-direct.png,Y,FPMP,N,1,,5,3,,0,,"Row(member0=Timestamp('2018-10-01 14:39:40'), member1=None)",unicode,,Fonepay Merchant Payment,00954055240004,,D,,N,payment,,3,1.0,,R,0,N,Fonepay Merchant Payment,N,,,2024-08-07 07:05:25.427
7,ntc.png,Y,NG,Y,1,,1,1,Please pay for recharge card by choosing amount denomination.,0,,"Row(member0=Timestamp('2018-10-01 14:43:30'), member1=None)",unicode,,NT Recharge Card,00954055240004,,D,,N,payment,,2,3.0,,F,0,N,Nepal Telecom Recharge Card,N,,,2024-08-07 07:05:25.427
8,ntc.png,Y,NTPST,Y,1,,18,5,,1,,"Row(member0=Timestamp('2018-10-01 15:37:09'), member1=None)",unicode,,NT Landline,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,NT Landline Topup,N,,,2024-08-07 07:05:25.427
9,adsl.png,Y,NTADV,Y,1,,11,9,,1,,"Row(member0=Timestamp('2018-10-01 15:40:02'), member1=None)",unicode,,NT ADSL Volume Topup,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,NT ADSL Volume Topup,N,,,2024-08-07 07:05:25.427
10,adsl.png,Y,NTADS,Y,1,,12,10,,1,,"Row(member0=Timestamp('2018-10-03 22:02:49'), member1=None)",unicode,,NT ADSL Unlimited Topup,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,NT ADSL Unlimited Topup,N,,,2024-08-07 07:05:25.427
11,dish-home.png,Y,DHC,Y,1,,15,7,,1,,"Row(member0=Timestamp('2018-10-03 22:12:26'), member1=None)",unicode,,Dish Home CAS,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,Dish Home Topup Through  CAS ID,N,,,2024-08-07 07:05:25.427
12,dish-home.png,Y,DHA,Y,1,,17,8,,1,,"Row(member0=Timestamp('2018-10-03 22:16:16'), member1=None)",unicode,,Dish Home Account,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,Dish Home Topup Through  Account Number,N,,,2024-08-07 07:05:25.427
13,sim-tv.png,Y,SIMTV,Y,1,,16,11,"Customer ID is a unique ID provided by SIM TV while installing the Set Top Box (STB).
Customer ID will always be a 10 digits numeric number eg: 1000002345, 1000123880.
Please enter your Customer ID and desired amount to pay for SimTV recharge.",1,,"Row(member0=Timestamp('2018-10-03 22:25:36'), member1=None)",unicode,,SIM TV,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,Direct SIM TV Topup With Customer ID,N,,,2024-08-07 07:05:25.427
14,ntc.png,Y,NTCDMAPRE,Y,1,,19,12,,1,,"Row(member0=Timestamp('2018-10-03 22:45:41'), member1=None)",unicode,,NT CDMA Prepaid,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,NT CDMA Prepaid Topup,N,,,2024-08-07 07:05:25.427
15,ntc.png,Y,NTCDMAPOS,Y,1,,19,13,,1,,"Row(member0=Timestamp('2018-10-03 22:48:45'), member1=None)",unicode,,NT CDMA Postpaid,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,NT CDMA Postpaid Topup,N,,,2024-08-07 07:05:25.427
16,fonepay.png,Y,CONVERGENT,Y,1,,22,5,,4,,"Row(member0=Timestamp('2018-10-03 22:52:17'), member1=None)",unicode,,CONVERGENT,00954055240004,,D,,N,payment,,1,1.0,,R,0,N,Convergent payment,N,,,2024-08-07 07:05:25.427
17,fonepay.png,Y,CMPAY,Y,1,,23,6,,5,,"Row(member0=Timestamp('2018-10-03 22:55:30'), member1=None)",unicode,,Mobile Convergent,00954055240004,,D,,N,payment,,1,1.0,,R,0,N,Mobile Convergent,N,,,2024-08-07 07:05:25.427
18,card-credit.png,Y,CCP,Y,1,,24,7,,4,,"Row(member0=Timestamp('2018-10-03 22:59:48'), member1=None)",unicode,,Credit Card,00954055240004,,D,,N,payment,,1,1.0,,R,0,N,Credit Card Bill Payment,N,,,2024-08-07 07:05:25.427
19,dish-home.png,Y,DH,Y,1,,7,2,,0,,"Row(member0=Timestamp('2018-10-03 23:04:50'), member1=None)",unicode,,Dish Home,00954055240004,,D,,N,payment,,2,3.0,"Row(member0=Timestamp('2019-12-17 13:28:17'), member1=None)",F,0,N,Dish Home Recharge Card,N,,,2024-08-07 07:05:25.427
20,broadlink.png,Y,BI,Y,1,,3,3,,0,,"Row(member0=Timestamp('2018-10-03 23:07:46'), member1=None)",unicode,,Broadlink,00954055240004,,D,,N,payment,,2,3.0,,F,0,N,Broadlink Internet Recharge Card,N,,,2024-08-07 07:05:25.427
