_id,MERCHANT_NAME,PAN_NUMBER,MERCHANT_ID,MOBILE_NUMBER,ACQUIRER_NAME,REMARKS,STATUS,REALLOCATED_DATE,REALLOCATD_BY,DATA_SYNCED_DATE,REQUESTED_BRANCH_NAME,REQUESTED_BRANCH_CODE,updated_at
8568,N. S STORE,604954956,245873,9841675234,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-06-14T15:05:41,SUNRISE_RAJENDRA,2024-07-17T02:44:59,,,23:43.2
1347,MECHI KRISHI TATHA PASHUPALAN PVT.LTD,606534208,245889,9818898400,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-10T15:40:52,PRIME_PRABESH,2024-07-17T02:44:59,,,23:43.2
1021,A.G.R. INDUSTRIES PVT LTD,605933275,246036,9801899990,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-04T10:21:51,NABIL_GEETA,2024-07-17T02:44:59,,,23:43.2
17613,ALL IN ONE COLLECTION.,607238008,246326,9801025825,SAGARMATHA Bank,Business/Management Decision,REALLOCATED,2023-05-31T16:57:16,MAHALAXMI_AAYUSHA,2024-07-17T02:44:59,,,23:43.2
1351,N.P.P. FOOD SERVICE,303427586,246402,9841578518,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-03T12:06:37,PRIME_SANJAY,2024-07-17T02:44:59,,,23:43.2
27077,RAJ PHARMA,607094934,246456,9849266771,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-10-27T14:39:29,EBLQRMAKER@1170,2024-07-17T02:44:59,KAMALBINAYAK BRANCH,1170,23:43.2
11715,Q.D DIGITAL SOLUTION AND SERVICES,606250393,246700,9852029023,SAGARMATHA Bank,Business/Management Decision,REALLOCATED,2022-09-11T11:34:42,Parash07,2024-07-17T02:44:59,,,23:43.2
33361,DEV AGRO FARM,614266153,246965,9824349510,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-03-20T10:13:24,PRIME_SUDIPNIRAULA,2024-07-17T02:44:59,,,23:43.2
25784,KANKANA FANCY STORE,300828601,247140,9810558419,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-09-28T17:15:02,2365SG,2024-07-17T02:44:59,INARUWA BRANCH,208,23:43.2
38582,KHANAL FANCY.........,921247522,247360,9847011808,SAGARMATHA Bank,Dissatisfied with the service,REALLOCATED,2024-05-22T17:03:58,SHINE_DIPESH,2024-07-17T02:44:59,BELBAS BRANCH,34,23:43.2
