ADDR_1,ADDR_2,ADDR_3,SDL_ID,SOL_ID,TS_CNT,BANK_ID,BR_CODE,DEL_FLG,DP_CODE,FAB_FLG,MRS_NAME,PIN_CODE,SOL_DESC,WKLY_OFF,BANK_CODE,CITY_CODE,LCHG_TIME,MINOR_AGE,RCRE_TIME,SOL_ALIAS,TIME_ZONE,WKLY_OFF2,CNTRY_CODE,LICENSE_NO,PAN_GIR_NO,STATE_CODE,ENTITY_NAME,REGION_NAME,SOL_CLS_FLG,SOL_NAT_FLG,ABBR_BR_NAME,BOD_SYS_DATE,BR_OPEN_DATE,BR_STAT_CODE,CS_SOL_MESG1,CS_SOL_MESG2,DB_STAT_CODE,EXTERNAL_SOL,LCHG_USER_ID,RCRE_USER_ID,SOL_BOD_DATE,SOL_CLS_DATE,SOL_PRIORITY,ALT1_SOL_DESC,CUT_OVER_TIME,DIVISION_NAME,PROFIT_CENTER,TR_ENABLE_FLG,ABBR_BANK_NAME,ATM_JOB_STATUS,BR_FREE_CODE_1,BR_FREE_CODE_2,BR_FREE_CODE_3,BR_FREE_CODE_4,BR_FREE_CODE_5,BR_FREE_CODE_6,BR_FREE_CODE_7,BR_FREE_CODE_8,BR_FREE_CODE_9,CLG_CENTRE_NUM,DDN_WARN_LEVEL,EXTN_CNTR_CODE,HIGH_VALUE_SOL,MICR_BANK_CODE,PREF_LANG_CODE,SOL_EOD_STATUS,BATCH_OPER_DATE,BR_FREE_CODE_10,CTS_ENABLED_FLG,DB_STAT_USER_ID,HOME_CRNCY_CODE,LOCAL_IMAGE_FLG,MICR_CENTRE_FLG,PARTITION_ALIAS,REFERRAL_SET_ID,STOP_CLG_FT_FLG,TDS_CIRCLE_NAME,TREA_FREE_TEXT1,TREA_FREE_TEXT2,UNIFORM_BR_CODE,DB_INT_STAT_CODE,MENU_DISABLE_FLG,MICR_BRANCH_CODE,MICR_CENTRE_CODE,STOP_CASH_FT_FLG,STOP_XFER_FT_FLG,TAX_DEDN_DETAILS,BRANCH_IP_ADDRESS,CS_SOL_NATL_MESG1,CS_SOL_NATL_MESG2,DESTRY_INVT_CLASS,LAST_SI_EXEC_DATE,TDS_CERT_NUM_CODE,TYPE_OF_CASH_ACCT,CIRCLE_OFFICE_NAME,NEXT_CUST_NUM_CODE,PDC_INSTL_RUN_DATE,PREF_LANG_SOL_DESC,TR_HOME_CRNCY_CODE,BRANCH_REF_PORT_NUM,REROUTE_STP_ALLOWED,DATE_OF_INSTALLATION,DESTRY_INVT_LOCATION,FC_VAULT_LIMIT_IN_HC,HC_VAULT_LIMIT_IN_HC,NUM_OF_TIMES_IBR_GEN,OSP_MAX_OUT_STD_DAYS,INSTRMNT_WISE_REG_ALWD,RECEIVE_ALL_IMAGES_FLG,SOL_RESTARTABILITY_FLG,SAME_DAY_REV_TO_IBR_FLG,CONSOL_VAULT_LIMIT_IN_HC,DDN_WARN_LEVEL_EXCP_CODE,VALUE_DATING_ON_HOLIDAYS,INSTRMNT_ENCODE_BATCH_NUM,INSTRMNT_ENCODE_BLOCK_NUM,LAST_INT_CALC_DATE_FOR_SB,USER_CLG_DR_LIM_EXCP_CODE,EXT_EOD_NOT_COMP_EXCP_CODE,USER_CASH_DR_LIM_EXCP_CODE,USER_XFER_DR_LIM_EXCP_CODE,PROXY_NOT_SQUARED_EXCP_CODE,PROXY_PEND_VERIFN_EXCP_CODE,ALL_EXT_TRANS_PROC_EXCP_CODE,updated_at
TRIPURESHWOR,,,ALL,01,8823,1,01,N,,N,,,TRIPURESWOR,7,BOAN,KATHM,2024-07-26T21:27:26,18,2007-09-28T15:34:09,1,NPT,0,,,,BAGMA,,,Y,C,TRI,2018-11-06T06:53:51,2007-09-12T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,01,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2007-10-12T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
NEW ROAD- BISHAL BAZAR,,,ALL,30,30929,1,30,N,,N,,,NEW ROAD - BISHAL BAZAR BRANCH,7,BOAN,KATHM,2024-07-26T21:27:26,18,2013-06-06T16:24:42,30,NPT,0,,,,BAGMA,,,Y,C,BIS,2018-11-06T06:53:51,2013-06-06T00:00:00.000000, ,,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,30,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2013-06-06T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BANEPA,,,ALL,07,64535,1,07,N,,N,,,BANEPA BRANCH,7,BOAN,BANEP,2024-07-26T21:27:26,18,2008-09-08T11:31:03,7,NPT,0,,,,BAGMA,,,Y,C,BAN,2018-11-06T06:53:51,2008-09-08T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,07,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2008-09-08T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BHAKTAPUR BRANCH,,,ALL,08,44284,1,08,N,,N,,,BHAKTAPUR BRANCH,7,BOAN,BHAKT,2024-07-26T21:27:26,18,2008-09-08T11:31:03,8,NPT,0,,,,BAGMA,,,Y,C,BHK,2018-11-06T06:53:51,2008-09-08T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,08,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2008-09-08T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BIRTAMOD,,,ALL,09,30293,1,09,N,,N,,,BIRTAMOD BRANCH,7,BOAN,BIRTA,2024-07-26T21:27:26,18,2008-09-21T11:08:27,9,NPT,0,,,,MECHI,,,Y,C,BRM,2018-11-06T06:53:51,2008-09-21T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,09,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2008-09-21T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
KALANKI BRANCH,,,ALL,10,49699,1,10,N,,N,,,KALANKI BRANCH,7,BOAN,KATHM,2024-07-26T21:27:26,18,2008-09-21T11:16:53,10,NPT,0,,,,BAGMA,,,Y,C,KLN,2018-11-06T06:53:51,2008-09-21T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,10,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2008-09-21T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
CHHETRAPATI BRANCH,,,ALL,11,83965,1,11,N,,N,,,CHHETRAPATI BRANCH,7,BOAN,KATHM,2024-07-26T21:27:26,18,2008-11-19T16:02:22,11,NPT,0,,,,BAGMA,,,Y,C,CHP,2018-11-06T06:53:51,2009-01-19T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,11,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2009-01-16T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
BHAKTAPUR,,,ALL,12,67690,1,12,N,,N,,,BODE BRANCH,7,BOAN,BHAKT,2024-07-26T21:27:26,18,2009-03-02T12:46:45,12,NPT,0,,,,BAGMA,,,Y,C,BOD,2018-11-06T06:53:51,2009-03-02T00:00:00.000000, ,GROWING TOGETHER,,Y,N,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,,N,N,BOA,,,,,,,,,,,BOA,0,0,N,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,12,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2009-03-02T00:00:00.000000,,0,0,0,0,N,N,N,N,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
MAHARAJGUJN,KATHMANDU,,ALL,13,45586,1,13,N,,N,,,MAHARAJGUNJ BRANCH,7,BOAN,KATHM,2024-07-26T21:27:26,18,2009-05-03T13:42:49,13,NPT,0,,,,BAGMA,,,Y,C,MHJ,2018-11-06T06:53:51,2009-05-03T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,13,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2009-05-03T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GU3,,UL3,LU3,,,,2024-08-07 06:56:14.899
NARAYANGARH,,,ALL,14,25601,1,14,N,,N,,,NARAYANGARH BRANCH,7,BOAN,BHARA,2024-07-26T21:27:26,18,2009-05-03T13:54:39,14,NPT,0,,,,NARAY,,,Y,C,NRG,2018-11-06T06:53:51,2009-05-03T00:00:00.000000, ,GROWING TOGETHER,,Y, ,FINADMIN,FINADM,2024-07-27T00:00:00.000000,2024-07-26T00:00:00.000000,0,,1900-01-01T00:00:00.000000,, ,N,BOA,,,,,,,,,,,BOA,0,0, ,,,N,2018-11-06T00:00:00.000000,,N,,NPR,N,N,14,,C,,,,,,N,,, , ,,,,,,,TDS,T,,BOACI,,,,0, ,2009-05-03T00:00:00.000000,,0,0,0,0,N,N,N, ,0,,N,0,0,2024-07-26T00:00:00.000000,GL3,,UL3,LU3,,,,2024-08-07 06:56:14.899
